title,call_type,theme,sentiment,sentiment_score,churn_risk,churn_probability,risk_level
Competitive Landscape Review,Internal,Product and Engineering,mixed-positive,3.4,0,0.021666666666666664,🟢 Low Risk
Detect Outage - Root Cause Analysis,External,Infrastructure and Architecture,mixed-negative,2.4,1,0.99,🟡 Medium Risk
Aegis / Summit Trust - Platform Concerns Discussion,External,Identity and Access Management,mixed-negative,2.4,1,0.98,🟡 Medium Risk
Support Case #6977 - Brightpath Commerce Slow Backup Performance,Customer Support,Customer Support and Success,mixed-negative,2.8,1,1.0,🔴 High Risk
Aegis / Brightpath Commerce - Detect Module Deployment,External,Infrastructure and Architecture,mixed-positive,3.9,0,0.022857142857142857,🟢 Low Risk
Detect Outage - Escalation Bridge,Internal,Customer Support and Success,negative,1.8,1,0.99875,🔴 High Risk
Aegis / Trailhead Marketplace - Renewal Confirmation,External,Compliance and Security,positive,4.5,0,0.0,🟢 Low Risk
ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,Internal,Compliance and Security,mixed-negative,2.1,1,0.97875,🟡 Medium Risk
Support Case #3536 - Stratos Cloud LogVault Integration Timeout,Customer Support,Customer Support and Success,mixed-negative,2.4,1,1.0,🔴 High Risk
Aegis / Cobalt Software - Q2 Planning,Internal,Incident and Problem Management,mixed-positive,3.4,0,0.051428571428571435,🟢 Low Risk
All Hands - February Wrap,External,Product and Engineering,mixed-positive,3.5,0,0.02166666666666667,🟢 Low Risk
Aegis / Pinnacle Insurance - Detect Roadmap Review,Internal,Compliance and Security,mixed-positive,3.6,0,0.05452380952380952,🟢 Low Risk
Detect Outage - Customer Impact Assessment,External,Incident and Problem Management,negative,1.8,1,0.99,🔴 High Risk
Aegis / Bridgeport Health - Compliance Review,Internal,Compliance and Security,mixed-positive,4.1,0,0.0,🟢 Low Risk
Aegis / Frostbyte AI - Product Feedback,External,Compliance and Security,mixed-positive,3.7,0,0.041428571428571426,🟢 Low Risk
Competitive Threat Assessment - Post Outage,External,Product and Engineering,mixed-negative,2.3,1,0.96,🟡 Medium Risk
Comply v2 - GA Deployment Plan,External,Product and Engineering,very-positive,4.7,0,0.01,🟢 Low Risk
Detect Team - Sprint Planning,Internal,Product and Engineering,positive,4.1,0,0.011666666666666667,🟢 Low Risk
SOC 2 Audit Preparation - Internal,Internal,Compliance and Security,mixed-positive,3.4,0,0.11017857142857142,🟡 Medium Risk
Aegis / Blackridge Investments - HIPAA Compliance Review,Internal,Compliance and Security,very-positive,4.7,0,0.0,🟢 Low Risk
Support Case #3615 - Nimbus Platform Custom Report Request,Customer Support,Product and Engineering,mixed-positive,3.5,0,0.03166666666666666,🟢 Low Risk
Support Case #6539 - Steelpoint Manufacturing LDAP Sync Failures,Customer Support,Identity and Access Management,mixed-negative,2.4,1,1.0,🔴 High Risk
Detect Outage - Post-Incident Review,Customer Support,Product and Engineering,mixed-negative,2.8,1,0.8816666666666666,🔴 High Risk
Detect Team - Reliability Sprint Retro,Internal,Operations and Quality,very-positive,4.8,0,0.01,🟢 Low Risk
Support Case #8811 - Blackridge Investments Custom Compliance Template,Customer Support,Compliance and Security,very-positive,4.8,0,0.06,🟢 Low Risk
Comply v2 - Design Review,Internal,Compliance and Security,positive,4.4,0,0.0,🟢 Low Risk
Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,Customer Support,Incident and Problem Management,very-negative,1.4,1,1.0,🔴 High Risk
Protect Team - Quarterly Planning,Internal,Operations and Quality,positive,4.4,0,0.01,🟢 Low Risk
Aegis / Pineridge Systems - Q1 Business Review,Internal,Product and Engineering,very-positive,4.7,0,0.0,🟢 Low Risk
Aegis / Helix Data - Post-Incident Review,Customer Support,Incident and Problem Management,mixed-negative,2.3,1,1.0,🔴 High Risk
